OlinkID,wmh_6_nobs,wmh_6_beta,wmh_6_se,wmh_6_pvalue,wmh_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20494,930,-0.019240807783938867,0.031205531304777497,0.5376642031322155,0.9715972559934978,27.215383032164432,P01591,JCHAIN,Inflammation,Unique Protein
OID20495,930,-0.012017420557214175,0.02943424495785378,0.6831642051018405,0.9839751849637975,48.11407969094256,P01579,IFNG,Inflammation,Unique Protein
OID20496,930,0.03693908942131259,0.03098039799652076,0.2334404543545192,0.9715972559934978,42.45631465890214,Q13291,SLAMF1,Inflammation,Unique Protein
OID20497,930,0.06735015878889618,0.030936590244496128,0.029734610356720266,0.9715972559934978,30.128035539841946,Q8N8S7,ENAH,Inflammation,Unique Protein
OID20498,930,-0.030075649667771587,0.03394577944433461,0.3758570430009418,0.9715972559934978,36.92574890220236,Q13261,IL15RA,Inflammation,Unique Protein
OID20500,931,0.011183938850637976,0.029331384825536332,0.7030727462411943,0.9916889141436053,43.30907682387938,P09874,PARP1,Inflammation,Unique Protein
OID20501,931,0.002676676760094361,0.03049054815954473,0.9300652270792664,0.9978816894349033,62.78308820519409,Q0Z7S8,FABP9,Inflammation,Unique Protein
OID20502,931,0.019586649679952158,0.030619003607486452,0.5225357803676256,0.9715972559934978,41.679833530779945,P78362,SRPK2,Inflammation,Unique Protein
OID20503,931,0.05380542108280072,0.030827043444276447,0.0812537175985326,0.9715972559934978,53.39188622314336,P09038,FGF2,Inflammation,Unique Protein
OID20504,931,0.01812273132650559,0.030296676106964043,0.5498718008585468,0.9715972559934978,99.68422521826136,O43736,ITM2A,Inflammation,Unique Protein
OID20505,931,0.02214061136450023,0.030536991634045958,0.46861266133363644,0.9715972559934978,48.30109230697975,O14867,BACH1,Inflammation,Unique Protein
OID20506,931,0.0037474232831286826,0.02895143947643814,0.8970395283687773,0.9959854786146218,83.44692941519092,Q8IU57,IFNLR1,Inflammation,Unique Protein
OID20507,931,0.029505809191475278,0.030813213041486254,0.33853422590927873,0.9715972559934978,76.43223444512378,Q12933,TRAF2,Inflammation,Unique Protein
OID20508,931,0.004729833898452334,0.030917320107741886,0.8784453907034464,0.9959854786146218,46.51509694776605,Q06520,SULT2A1,Inflammation,Unique Protein
OID20509,931,0.014482692288902012,0.03414927297134489,0.671593536020273,0.9839751849637975,37.36635761639649,O60575,SPINK4,Inflammation,Unique Protein
OID20510,931,0.019858919078693017,0.03056471694068394,0.5160285617517857,0.9715972559934978,64.45880806202582,Q9Y5A7,NUB1,Inflammation,Unique Protein
OID20511,931,-0.0672693897708933,0.03916143319793355,0.08618355288541314,0.9715972559934978,54.50712608163738,O60542,PSPN,Inflammation,Unique Protein
OID20512,931,0.047865727408328965,0.0290416536814782,0.09966233282119599,0.9715972559934978,34.70943459958243,P30838,ALDH3A1,Inflammation,Unique Protein
OID20513,669,0.001829748934038789,0.03490148315377838,0.9582053534206649,0.9978816894349033,15.682269173284974,O43521-2,BCL2L11,Inflammation,Unique Protein
OID20514,931,-0.017741475576719488,0.02946353403364976,0.5472242662404121,0.9715972559934978,44.70559502976316,O60880,SH2D1A,Inflammation,Unique Protein
