OlinkID,epvs_thalamus_6_nobs,epvs_thalamus_6_beta,epvs_thalamus_6_se,epvs_thalamus_6_pvalue,epvs_thalamus_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20523,924,-0.002544673853606865,0.033519043665817864,0.9395017617589437,0.999912880572633,73.8302470220435,P80098,CCL7,Inflammation,Unique Protein
OID20524,924,-0.02151298734475125,0.03352397215247179,0.5212183488369498,0.999912880572633,101.9112873812316,Q9UN19,DAPP1,Inflammation,Unique Protein
OID20525,924,0.005030509660884962,0.03315709393650364,0.8794437213225943,0.999912880572633,92.21140517434728,Q9UNE0,EDAR,Inflammation,Unique Protein
OID20526,924,-0.01876742955624281,0.03264320488780686,0.5654846661907242,0.999912880572633,69.31220536517434,Q9C035,TRIM5,Inflammation,Unique Protein
OID20527,924,-0.022046989971078765,0.032008782504012866,0.4911392208869534,0.999912880572633,47.96321183811114,Q8N608,DPP10,Inflammation,Unique Protein
OID20528,924,0.05712584641067419,0.03293655820618826,0.08318510403232181,0.999912880572633,35.370311091525835,P23229,ITGA6,Inflammation,Unique Protein
OID20529,924,0.03270702431069278,0.03370314099368258,0.3320851766830506,0.999912880572633,85.77068448749249,Q6DN72,FCRL6,Inflammation,Unique Protein
OID20530,924,0.033402007145723084,0.03272886931630082,0.3077332272888636,0.999912880572633,70.62788936127308,P33241,LSP1,Inflammation,Unique Protein
OID20531,924,-0.017147128024627662,0.03343348618706684,0.6081658279452627,0.999912880572633,47.40678950301222,Q9UNK0,STX8,Inflammation,Unique Protein
OID20532,924,-0.03450295452245856,0.033137711789539066,0.2980621625621576,0.999912880572633,27.811981883847615,P13747,HLA-E,Inflammation,Unique Protein
OID20533,924,-0.03481965745961033,0.0330002750639828,0.2916473346365053,0.999912880572633,102.85456666246957,P19474,TRIM21,Inflammation,Unique Protein
OID20534,924,0.021238215759260572,0.03235649564363347,0.5117458883262505,0.999912880572633,96.05089974165296,O75475,PSIP1,Inflammation,Unique Protein
OID20535,924,0.017247882753039574,0.033388078906380826,0.6055703817987061,0.999912880572633,66.34786773764874,P13232,IL7,Inflammation,Unique Protein
OID20536,924,0.011628367149688627,0.03336904478980883,0.7275627951539921,0.999912880572633,71.15817713678194,Q8IVG5,SAMD9L,Inflammation,Unique Protein
OID20537,924,-0.0039915050732139724,0.032215474223938535,0.9014218645473535,0.999912880572633,58.00730195794487,Q96LC7,SIGLEC10,Inflammation,Unique Protein
OID20538,924,-0.013314720422861295,0.032933392663689214,0.6860935540662094,0.999912880572633,86.09319063975178,B1AKI9,ISM1,Inflammation,Unique Protein
OID20539,924,-0.03042059873601447,0.03571454391328453,0.39456750467701895,0.999912880572633,50.405627485248935,Q6ZMH5,SLC39A5,Inflammation,Unique Protein
OID20540,924,-0.019621438778685302,0.03388002142700154,0.5626360601916377,0.999912880572633,62.63123934447196,P78410,BTN3A2,Inflammation,Unique Protein
OID20541,924,-0.043296719731042814,0.03389424583785132,0.20178756900983044,0.999912880572633,66.30479381023342,P12872,MLN,Inflammation,Unique Protein
OID20542,924,0.025401480882198752,0.033366529233897754,0.4466850745633758,0.999912880572633,69.62510000165577,Q12765,SCRN1,Inflammation,Unique Protein
OID20543,924,0.02396466201413891,0.04199476368915707,0.5683733953731689,0.999912880572633,66.5099122979768,P58294,PROK1,Inflammation,Unique Protein
OID20544,924,3.990071585671714e-4,0.033529916895067055,0.990508001943187,0.999912880572633,75.19360848127108,Q9Y6K9,IKBKG,Inflammation,Unique Protein
OID20545,924,0.0019508384745399905,0.03364018879377974,0.9537683979671786,0.999912880572633,69.06036574521553,O95644,NFATC1,Inflammation,Unique Protein
OID20546,924,-0.01664117975553031,0.031484750100739145,0.5972495449376016,0.999912880572633,88.08322803526029,Q9Y258,CCL26,Inflammation,Unique Protein
OID20547,924,-0.010252318247684253,0.03228541879260504,0.7508978380106335,0.999912880572633,81.08055680909513,Q8WTT0,CLEC4C,Inflammation,Unique Protein
OID20548,924,0.06589328294208148,0.03649106897974064,0.07129266738296977,0.999912880572633,75.69468894964902,Q3KPI0,CEACAM21,Inflammation,Unique Protein
OID20549,924,0.054608132399353054,0.0322383417730447,0.09063184764095222,0.999912880572633,56.53423121365311,Q9BT73,PSMG3,Inflammation,Unique Protein
OID20550,924,-0.003201786946628172,0.03567651203407484,0.928509814727521,0.999912880572633,30.00772866031804,P20849,COL9A1,Inflammation,Unique Protein
