OlinkID,epvs_basalganglia_6_nobs,epvs_basalganglia_6_beta,epvs_basalganglia_6_se,epvs_basalganglia_6_pvalue,epvs_basalganglia_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20294,926,0.09964184491098786,0.032539839433738595,0.0022625718372491924,0.33031897563284185,49.58050956299769,P04080,CSTB,Cardiometabolic,Unique Protein
OID20295,926,0.013987648392730687,0.03248469086418038,0.6668676900647621,0.8690389023893444,60.10432944659653,P80370,DLK1,Cardiometabolic,Unique Protein
OID20296,926,0.039485021503236885,0.031571576520181194,0.2113854641038649,0.5257523800113031,42.06965761452278,P08236,GUSB,Cardiometabolic,Unique Protein
OID20297,926,0.05094910124254601,0.030930072461669244,0.09985725761624754,0.3828462287273232,50.6319753999081,Q14162,SCARF1,Cardiometabolic,Unique Protein
OID20298,926,-0.02625313198844541,0.029396770158345673,0.3720617592378568,0.6839774108001561,59.36334376479172,P09093,CELA3A,Cardiometabolic,Unique Protein
OID20299,926,0.04275194065390479,0.03449211305348288,0.21549315286171053,0.5301467928582858,47.8057486176229,P48745,CCN3,Cardiometabolic,Unique Protein
OID20300,926,0.0775217016303418,0.03210756399294775,0.015957231163967023,0.33031897563284185,27.333317601216173,Q9Y4L1,HYOU1,Cardiometabolic,Unique Protein
OID20301,926,-0.011855599359664574,0.03177259096614219,0.7091323173712739,0.8883063642208198,62.607902277851416,Q8N423,LILRB2,Cardiometabolic,Unique Protein
OID20302,690,0.06789347978750301,0.036962121500652687,0.06667772968178173,0.3470877473323896,56.74225089874749,P15907,ST6GAL1,Cardiometabolic,Unique Protein
OID20303,926,0.0029767166109339834,0.030104739180661966,0.9212565245042589,0.9791043841315393,64.31486205264409,P35590,TIE1,Cardiometabolic,Unique Protein
OID20304,926,0.06523613137695064,0.03227313803981286,0.0435351647187985,0.3343852776168678,60.67412346053448,P78324,SIRPA,Cardiometabolic,Unique Protein
OID20305,926,0.0629186195374496,0.031167458712487765,0.04381033041646424,0.3343852776168678,68.70571581640652,P42574,CASP3,Cardiometabolic,Unique Protein
OID20306,926,-0.013585438821251232,0.03211987334046016,0.6724246484623637,0.8730823410748947,52.65702612005766,Q13332,PTPRS,Cardiometabolic,Unique Protein
OID20307,926,-0.032948707207634716,0.03224031047049702,0.30706737219744834,0.6281021196173139,43.4634975842823,Q12860,CNTN1,Cardiometabolic,Unique Protein
OID20308,926,-0.023240574721517544,0.03189735221121444,0.4664319340642292,0.7557541814133826,63.49221599113213,Q8TDL5,BPIFB1,Cardiometabolic,Unique Protein
OID20309,926,0.029949719094658784,0.030219965959735806,0.3219227714450406,0.6445070280368861,66.25896415393858,P20160,AZU1,Cardiometabolic,Unique Protein
OID20310,926,-0.013939560914499768,0.0315459214068832,0.6586806000738423,0.8657223661772455,54.354536744400214,P10586,PTPRF,Cardiometabolic,Unique Protein
OID20311,926,-0.060473645908024766,0.03078489201541539,0.04979046233861951,0.3343852776168678,55.05772187134104,P46531,NOTCH1,Cardiometabolic,Unique Protein
OID20312,926,0.029346131092859756,0.031265097880382904,0.3481751946231152,0.6619545439562428,57.47092284570946,Q13231,CHIT1,Cardiometabolic,Unique Protein
OID20313,926,0.06255041061252685,0.030742346488735414,0.04217586333402568,0.3343852776168678,61.14299012780048,P04085,PDGFA,Cardiometabolic,Unique Protein
OID20314,926,0.023382366987912028,0.030697390757149175,0.44643454369798585,0.7409226330751705,58.15499355853627,P13686,ACP5,Cardiometabolic,Unique Protein
OID20315,926,-0.047901424654293874,0.030079588891467526,0.11162437612995611,0.3946092837244659,58.5830668122483,P05107,ITGB2,Cardiometabolic,Unique Protein
OID20316,926,0.007354191247684842,0.030465782838579748,0.8093061810603126,0.9384740023040145,62.522675538325636,P25445,FAS,Cardiometabolic,Unique Protein
OID20317,926,-0.007766804015324176,0.029991277346089737,0.7957182969157442,0.9325920536827267,54.36778141647737,O15031,PLXNB2,Cardiometabolic,Unique Protein
OID20318,926,0.016049090910407123,0.03028441164528092,0.596279774129612,0.8358511436989343,68.35188804377653,Q14393,GAS6,Cardiometabolic,Unique Protein
OID20319,926,-0.029155123093181228,0.030236641439858127,0.3351877191247108,0.6548158418858732,46.960190647701964,P00533,EGFR,Cardiometabolic,Unique Protein
OID20320,926,0.04833531820169588,0.031566263279147105,0.1260615552050191,0.4188086038419918,53.503428456765626,Q16769,QPCT,Cardiometabolic,Unique Protein
