OlinkID,epvs_insula_1_nobs,epvs_insula_1_beta,epvs_insula_1_se,epvs_insula_1_pvalue,epvs_insula_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20494,906,0.04773704717776254,0.035610266262823174,0.180413689838332,0.9953590097212025,27.215383032164432,P01591,JCHAIN,Inflammation,Unique Protein
OID20495,906,0.04387329023915347,0.033496754283721925,0.19061144046735337,0.9953590097212025,48.11407969094256,P01579,IFNG,Inflammation,Unique Protein
OID20496,906,-0.013990611020000779,0.03478529045448325,0.6876347638307381,0.9953590097212025,42.45631465890214,Q13291,SLAMF1,Inflammation,Unique Protein
OID20497,906,-0.008420660764113692,0.03407001723187426,0.8048437125474276,0.9953590097212025,30.128035539841946,Q8N8S7,ENAH,Inflammation,Unique Protein
OID20498,906,0.05836902094210713,0.035817916523024046,0.10354146589205936,0.9953590097212025,36.92574890220236,Q13261,IL15RA,Inflammation,Unique Protein
OID20500,906,0.031173430787358833,0.033429309984544124,0.35132354322669546,0.9953590097212025,43.30907682387938,P09874,PARP1,Inflammation,Unique Protein
OID20501,906,0.0033090262145845668,0.035725470866859045,0.9262234806462967,0.9953590097212025,62.78308820519409,Q0Z7S8,FABP9,Inflammation,Unique Protein
OID20502,906,4.383014036782262e-4,0.03321545864950647,0.989474633415606,0.9964514608271438,41.679833530779945,P78362,SRPK2,Inflammation,Unique Protein
OID20503,906,0.007536073820274548,0.03468157769256052,0.8280299338136465,0.9953590097212025,53.39188622314336,P09038,FGF2,Inflammation,Unique Protein
OID20504,906,-0.032163957911111034,0.03296490339007013,0.32947854285832345,0.9953590097212025,99.68422521826136,O43736,ITM2A,Inflammation,Unique Protein
OID20505,906,0.017508883507595937,0.0335962827729936,0.6023890589606129,0.9953590097212025,48.30109230697975,O14867,BACH1,Inflammation,Unique Protein
OID20506,906,0.021356622377562542,0.03253250457931691,0.5116924278584283,0.9953590097212025,83.44692941519092,Q8IU57,IFNLR1,Inflammation,Unique Protein
OID20507,906,0.018970336643974066,0.033387013792382556,0.5700468125363793,0.9953590097212025,76.43223444512378,Q12933,TRAF2,Inflammation,Unique Protein
OID20508,906,-0.004487620026915535,0.03383120902088033,0.8945024748856205,0.9953590097212025,46.51509694776605,Q06520,SULT2A1,Inflammation,Unique Protein
OID20509,906,0.06301078172153071,0.0364727921441442,0.08440732787054393,0.9953590097212025,37.36635761639649,O60575,SPINK4,Inflammation,Unique Protein
OID20510,906,-4.348562947121915e-4,0.034038413424417935,0.9898098197547687,0.9964514608271438,64.45880806202582,Q9Y5A7,NUB1,Inflammation,Unique Protein
OID20511,906,0.03221698897138014,0.04233718596500145,0.4468827062340526,0.9953590097212025,54.50712608163738,O60542,PSPN,Inflammation,Unique Protein
OID20512,906,0.031695442273902495,0.033602826909054896,0.3458172077472077,0.9953590097212025,34.70943459958243,P30838,ALDH3A1,Inflammation,Unique Protein
OID20513,660,0.07477750273192217,0.04165206981951121,0.07308081714668117,0.9953590097212025,15.682269173284974,O43521-2,BCL2L11,Inflammation,Unique Protein
OID20514,906,0.010820280058059422,0.03321359034765628,0.7446688986766157,0.9953590097212025,44.70559502976316,O60880,SH2D1A,Inflammation,Unique Protein
OID20515,906,-0.024734484794301723,0.03334191999299155,0.45837923906191547,0.9953590097212025,60.081422057647885,Q12778,FOXO1,Inflammation,Unique Protein
